id,x,y,z
0,2.54419,3.3881,0.655716
1,2.48905,2.87566,0.847794
2,3.32118,3.0814,0.590558
3,3.1738,2.57593,0.652507
4,10.1483,2.32184,0.792223
5,10.0838,2.03198,0.583613
6,11.2312,2.33511,0.980043
7,10.6088,2.10038,0.806222
9,16.1114,2.02255,0.994198
10,16.987,1.94249,1.11681
11,16.7477,1.55995,0.906107
12,22.1488,1.5018,0.991508
13,22.0983,1.64408,0.998749
14,23.0992,1.65029,1.09686
15,22.4302,1.16891,1.08736
16,28.0691,1.10966,1.19276
17,27.4738,0.814109,1.20668
18,28.7604,1.2522,1.24369
19,29.1987,0.921661,1.40716
21,33.5953,0.597031,1.27438
22,35.0028,0.745361,1.43378
23,34.2244,0.895591,1.21337
25,39.6679,-0.0999474,1.48136
26,41.064,0.391382,1.49954
27,40.2147,0.519875,1.27101
29,45.564,-0.237198,1.58038
30,46.8105,0.095919,1.07183
31,46.6727,-0.550041,1.61212
32,51.1904,-0.318133,1.65736
33,51.117,-0.638529,1.63163
34,51.9716,-0.335348,1.66939
35,51.6679,-0.189434,1.38067
37,55.483,-0.440316,1.49581
38,56.4328,-0.420487,1.98475
39,55.9868,-1.02022,1.80471
40,63.9636,-0.846802,1.44445
41,63.5909,-1.56757,1.76506
42,64.7151,-1.22858,1.84998
43,65.1239,-1.49388,1.89156
44,69.9234,-1.53398,1.89751
45,70.0228,-1.36161,1.46789
46,70.7357,-1.5778,1.95086
47,70.9022,-1.56353,1.95905
49,75.5663,-2.21762,2.09872
50,76.9745,-1.92821,1.80979
51,76.2158,-2.40728,1.95277
53,81.1205,-2.52359,2.00686
54,82.4274,-2.43846,1.83214
55,82.1111,-2.70988,1.90138
56,87.2821,-2.70289,2.03951
57,86.8871,-3.06299,2.00788
58,88.0136,-2.73119,1.98473
59,88.4638,-2.87081,1.90239
61,93.1572,-3.476,2.04218
62,94.4842,-3.22175,2.06884
63,93.8249,-2.84059,2.25856
65,99.1005,-3.60818,2.02646
66,100.266,-3.40527,2.12823
67,99.8048,-3.22516,2.34508
69,104.758,-3.91837,2.50069
70,105.476,-3.82023,2.1292
71,105.243,-3.55872,2.37236
73,108.357,-4.5511,2.24859
74,109.808,-3.99373,2.28683
75,109.187,-4.41306,2.25809
77,117.083,-5.06303,2.32868
78,118.372,-4.66662,2.27222
79,117.848,-4.99881,2.25356
81,123.583,-4.71541,2.54589
82,124.122,-5.04598,2.24495
83,123.771,-5.35525,2.25153
85,129.605,-4.95036,1.85016
86,130.255,-5.18498,2.35356
87,129.773,-5.72631,2.23104
89,134.775,-5.90677,2.20206
90,136.025,-5.73426,2.24303
91,135.804,-6.08352,2.22628
93,141.093,-6.18027,2.17014
94,142.25,-6.02957,2.27707
95,141.723,-5.88666,1.84916
97,146.632,-6.60861,2.25776
98,148.019,-6.41893,2.03598
99,147.738,-6.2668,1.85558
100,151.206,-6.63363,2.33555
101,151.36,-6.92047,2.31133
103,152.175,-6.51807,1.88827
104,2.36272,2.46874,0.53097
105,2.51218,1.87954,0.809324
106,3.38613,2.14137,0.659016
107,3.21159,1.68261,0.647117
108,7.32565,2.0168,0.92633
109,7.18372,1.57823,0.972112
110,8.38129,2.02421,0.800083
111,7.69822,1.40191,0.851526
112,13.2196,1.05492,1.01649
113,13.1386,1.1555,1.08066
114,14.1167,1.28313,0.99963
115,14.3291,1.10514,1.0977
